Remove 	{162}	 At node39	 TIME: 	77.43605870654861
Remove 	{162}	 At node42	 TIME: 	77.4435575439708
Remove 	{162}	 At node73	 TIME: 	77.45755796791822
Remove 	{162}	 At node84	 TIME: 	77.46534400804511
Remove 	{162}	 At node81	 TIME: 	77.4717907751
Remove 	{162}	 At node80	 TIME: 	77.47604973998966
Remove 	{162}	 At node82	 TIME: 	77.47965991935729
Remove 	{162}	 At node83	 TIME: 	77.54425137367498
Insert 	 291	 At node7	 TIME: 	79.76506851319266
Insert 	 291	 At node26	 TIME: 	82.98695065075323
Insert 	 291	 At node27	 TIME: 	83.05937159384264
Insert 	 185	 At node6	 TIME: 	83.67439755645212
Insert 	 185	 At node23	 TIME: 	84.18346544520996
Insert 	 291	 At node28	 TIME: 	84.90419248364384
Insert 	 213	 At node6	 TIME: 	86.9800854343132
Remove 	{103}	 At node44	 TIME: 	88.04709433359153
Remove 	{103}	 At node10	 TIME: 	88.08085997624276
Remove 	{103}	 At node44	 TIME: 	88.10313395743202
Remove 	{103}	 At node43	 TIME: 	88.11455868179364
Remove 	{103}	 At node3	 TIME: 	88.1316758299131
Remove 	{103}	 At node2	 TIME: 	88.15428295946543
Remove 	{103}	 At node9	 TIME: 	88.15647099601917
Remove 	{103}	 At node7	 TIME: 	88.1703587012789
Remove 	{103}	 At node8	 TIME: 	88.17583564049015
Remove 	{103}	 At node15	 TIME: 	88.18224741944722
Remove 	{103}	 At node4	 TIME: 	88.18645903699671
Remove 	{103}	 At node8	 TIME: 	88.18963212375952
Remove 	{103}	 At node28	 TIME: 	88.19059251829083
Remove 	{103}	 At node27	 TIME: 	88.19426618311905
Remove 	{103}	 At node41	 TIME: 	88.20744052028077
Remove 	{103}	 At node37	 TIME: 	88.21373062764451
Remove 	{103}	 At node14	 TIME: 	88.21391265531213
Remove 	{103}	 At node33	 TIME: 	88.22032143305196
Remove 	{103}	 At node40	 TIME: 	88.22368215813613
Remove 	{103}	 At node29	 TIME: 	88.2256238954139
Remove 	{103}	 At node35	 TIME: 	88.2318686726001
Remove 	{103}	 At node38	 TIME: 	88.24927439712481
Remove 	{103}	 At node39	 TIME: 	88.25703425090937
Remove 	{103}	 At node34	 TIME: 	88.2573343535606
Remove 	{103}	 At node16	 TIME: 	88.26143332988082
Remove 	{103}	 At node53	 TIME: 	88.26145168617666
Remove 	{103}	 At node51	 TIME: 	88.26467195640163
Remove 	{103}	 At node32	 TIME: 	88.26760804164938
Remove 	{103}	 At node50	 TIME: 	88.26877737284333
Remove 	{103}	 At node42	 TIME: 	88.27101580288688
Remove 	{103}	 At node11	 TIME: 	88.27221421560255
Remove 	{103}	 At node12	 TIME: 	88.27596934016395
Remove 	{103}	 At node59	 TIME: 	88.27947295482299
Remove 	{103}	 At node36	 TIME: 	88.28120284191371
Remove 	{103}	 At node56	 TIME: 	88.28252278180473
Remove 	{103}	 At node54	 TIME: 	88.28470934603354
Remove 	{103}	 At node48	 TIME: 	88.2872727429274
